"name","img","URL","description","difficultLevel","price","proven"
"","","www.imooc.comhttp://coding.imooc.com/class/56.html",,"高","","是"
"飞速上手的跨平台App开发 ","","www.imooc.comhttp://coding.imooc.com/class/51.html",,"高","￥88.00","是"
"所向披靡的响应式开发 ","","www.imooc.comhttp://coding.imooc.com/class/50.html",,"高","￥128.00","是"
"7天搞定Node.js微信公众号开发 ","","www.imooc.comhttp://coding.imooc.com/class/38.html",,"高","￥199.00","是"
"HTML+CSS基础课程","http://img.mukewang.com/529dc3380001379906000338-240-135.jpg","www.imooc.com/learn/9","8小时带领大家步步深入学习标签的基础知识，掌握各种样式的基本用法。","初",0,"否"
"JavaScript入门篇","http://img.mukewang.com/53e1d0470001ad1e06000338-240-135.jpg","www.imooc.com/learn/36","做为一名Web攻城狮的必备技术，让您从糊涂到明白，快速认识JavaScript。","初",0,"否"
"JavaScript进阶篇","http://img.mukewang.com/574678bd00010a7206000338-240-135.jpg","www.imooc.com/learn/10","JavaScript带您进入网页动态交互世界","中",0,"否"
"玩转Bootstrap（基础）","http://img.mukewang.com/5704ae850001f59906000338-240-135.jpg","www.imooc.com/learn/141","告诉你怎么使用Bootstrap。","中",0,"否"
"前端开发工具技巧介绍—DW篇","http://img.mukewang.com/5704a5d50001582f06000338-240-135.jpg","www.imooc.com/learn/39","你真的确认会使用Dreamweaver了吗？","初",0,"否"
"网页布局基础","http://img.mukewang.com/53eafb44000146c706000338-240-135.jpg","www.imooc.com/learn/95","让你精通CSS中三大定位机制","初",0,"否"
"前端工程师必备的PS技能——切图篇","http://img.mukewang.com/578741d3000151e806000338-240-135.jpg","www.imooc.com/learn/506","前端开发需要的Photoshop技巧。","中",0,"否"
"JavaScript深入浅出","http://img.mukewang.com/5705d3a3000129d006000338-240-135.jpg","www.imooc.com/learn/277","由浅入深学习JS，且解析JS常见误区。","高",0,"否"
"",,"www.imooc.com/course/programdetail/pid/34","","",0,"否"
"",,"www.imooc.com/course/programdetail/pid/32","","",0,"否"
"",,"www.imooc.com/course/programdetail/pid/31","","",0,"否"
"",,"www.imooc.com/course/programdetail/pid/43","","",0,"否"
"十天精通CSS3","http://img.mukewang.com/576b7c04000144dc06000338-240-135.jpg","www.imooc.com/learn/33","深刻详解CSS3知识让网页穿上绚丽装备","高",0,"否"
"前端开发工具技巧介绍—Sublime篇","http://img.mukewang.com/5704a54300013d5d06000338-240-135.jpg","www.imooc.com/learn/40","一款技术大牛高效编码神器！","初",0,"否"
"AngularJS实战","http://img.mukewang.com/5707699500012d5a06000338-240-135.jpg","www.imooc.com/learn/156","AngularJS基础课程。","高",0,"否"
"Ajax全接触","http://img.mukewang.com/549bda090001c53e06000338-240-135.jpg","www.imooc.com/learn/250","由浅入深，循序渐进学习Ajax的相关概念、原理、实现方式和应用方法。","高",0,"否"
"如何用CSS进行网页布局","http://img.mukewang.com/576b7b6c0001594106000338-240-135.jpg","www.imooc.com/learn/57","用最简洁的案例教你布局的那些知识","中",0,"否"
"HTML5之元素与标签结构","http://img.mukewang.com/5774db480001229006000338-240-135.jpg","www.imooc.com/learn/24","详细探讨HTML5元素与标签结构知识。","高",0,"否"
"基于bootstrap的网页开发","http://img.mukewang.com/5705b88c0001de9606000338-240-135.jpg","www.imooc.com/learn/182","运用Bootstrap前端框架快速拾建网页","中",0,"否"
"H5+JS+CSS3实现七夕言情","http://img.mukewang.com/5705d31a00013ca706000338-240-135.jpg","www.imooc.com/learn/453","为七夕节准备的H5+JS+CSS3特效案例","高",0,"否"
"手把手教你实现电商网站开发","http://img.mukewang.com/53c4bf8200011aac06000338-240-135.jpg","www.imooc.com/learn/100","了解和掌握电商网站制作的流程","中",0,"否"
"进击Node.js基础（一）","http://img.mukewang.com/56f22f3900012d0206000338-240-135.jpg","www.imooc.com/learn/348","“键盘侠”带你揭开Node.js的面纱。","高",0,"否"
"企业网站综合布局实战","http://img.mukewang.com/5705d01e0001a04a06000338-240-135.jpg","www.imooc.com/learn/147","让您快速学会网站布局","中",0,"否"
"电商网站前端架构","http://img.mukewang.com/5705d54c0001528306000338-240-135.jpg","www.imooc.com/learn/186","整个项目组织、开发、发布等流程","高",0,"否"
"导航条菜单的制作","http://img.mukewang.com/57466cc50001a02006000338-240-135.jpg","www.imooc.com/learn/6","水平、垂直、圆角导航条菜单！","中",0,"否"
"响应式布局","http://img.mukewang.com/53e1d1f90001400a06000338-240-135.jpg","www.imooc.com/learn/41","让网站兼容不同终端不再是梦","高",0,"否"
"玩转Bootstrap（JS插件篇）","http://img.mukewang.com/5704ae5d00013c9a06000338-240-135.jpg","www.imooc.com/learn/262","教你如何使用Bootstrap中的JS插件。","中",0,"否"
"形形色色的下拉菜单","http://img.mukewang.com/5746746100019fa706000338-240-135.jpg","www.imooc.com/learn/12","使用不同技术实现丰富多彩的下拉菜单","中",0,"否"
"版本控制入门 – 搬进 Github","http://img.mukewang.com/570779090001f12106000338-240-135.jpg","www.imooc.com/learn/390","Git版本控制/Github社会化编程平台","初",0,"否"
"DOM事件探秘","http://img.mukewang.com/570aff630001881206000338-240-135.jpg","www.imooc.com/learn/138","DOM事件？让我们来一起探索吧！","高",0,"否"
"快乐的sublime编辑器","http://img.mukewang.com/5746720700019b5a06000338-240-135.jpg","www.imooc.com/learn/333","展示sublimeText,讲透它的使用哲学。","高",0,"否"
"H5+JS+CSS3 实现圣诞情缘","http://img.mukewang.com/5705d2fb0001b83206000338-240-135.jpg","www.imooc.com/learn/545","为圣诞节准备的H5+JS+CSS特效案例","高",0,"否"
"网页简单布局之结构与表现原则","http://img.mukewang.com/57466b8c0001389b06000338-240-135.jpg","www.imooc.com/learn/20","入门必杀技之结构与表现相分离！","中",0,"否"
"JS动画效果","http://img.mukewang.com/57466d580001d46806000338-240-135.jpg","www.imooc.com/learn/167","从简单动画到完美运动框架的封装","高",0,"否"
"Hello，移动WEB","http://img.mukewang.com/55f93f980001f52125001408-240-135.jpg","www.imooc.com/learn/494","跟随移动互联网的浪潮""移动web""","中",0,"否"
"全屏切换效果","http://img.mukewang.com/5704ae32000116d006000338-240-135.jpg","www.imooc.com/learn/374","如何在PC和移动端实现全屏切换效果","中",0,"否"
"使用AngularJS开发下一代Web应用","http://img.mukewang.com/53143b0a0001e15106000338-240-135.jpg","www.imooc.com/learn/51","“化繁为简”更简洁的开发体验","高",0,"否"
"SEO在网页制作中的应用","http://img.mukewang.com/54214727000160e306000338-240-135.jpg","www.imooc.com/learn/204","让您快速迈进SEO的门，不容错过!","初",0,"否"
"jQuery基础 (一)—样式篇","http://img.mukewang.com/5704a68f0001e20206000338-240-135.jpg","www.imooc.com/learn/418","jQuery初入开启样式修炼","初",0,"否"
"IT菜鸟逆袭指南（江湖篇）","http://img.mukewang.com/530c732400013e5106000338-240-135.jpg","www.imooc.com/learn/48","屌爆了！码农逆袭有秘诀，看“挨踢（IT）”小菜鸟慕无忌如何成为技术“土豪”","初",0,"否"
"炫丽的倒计时效果Canvas绘图与动画基础","http://img.mukewang.com/53bb8f280001929206000338-240-135.jpg","www.imooc.com/learn/133","学习HTML5中最激动人心的技术Canvas","高",0,"否"
"node+mongodb 建站攻略（一期）","http://img.mukewang.com/570b06920001114b06000338-240-135.jpg","www.imooc.com/learn/75","初中级前端开发工程师必学课程！","高",0,"否"
"HTML5+CSS3实现春节贺卡","http://img.mukewang.com/5705cf3a0001b61c06000338-240-135.jpg","www.imooc.com/learn/597","又逢新春佳节，春节贺卡搞起来！","中",0,"否"
"移动端开发框架Zepto.js入门","http://img.mukewang.com/546418750001a81906000338-240-135.jpg","www.imooc.com/learn/229","移动端开发必学框架---Zepto.js","高",0,"否"
"DOM探索之基础详解篇","http://img.mukewang.com/5774daca0001646506000338-240-135.jpg","www.imooc.com/learn/488","要知道前端大牛都是从精通DOM开始的","中",0,"否"
"瀑布流布局","http://img.mukewang.com/536c49530001e2cd06000338-240-135.jpg","www.imooc.com/learn/101","实现瀑布流布局的三大方式","中",0,"否"
"WEB调试工具---Firebug","http://img.mukewang.com/5705b5990001312206000338-240-135.jpg","www.imooc.com/learn/137","Firebug让您快速找到问题所在","初",0,"否"
"CSS3 3D 特效","http://img.mukewang.com/57466c6a0001671406000338-240-135.jpg","www.imooc.com/learn/77","使用CSS3创建一个3维动画效果。","初",0,"否"
"jQuery源码解析（架构与依赖模块）","http://img.mukewang.com/570b064a00015a0c06000338-240-135.jpg","www.imooc.com/learn/172","前端架构师揭开框架背后的秘密。","高",0,"否"
"学写一个字","http://img.mukewang.com/57077a210001c6a806000338-240-135.jpg","www.imooc.com/learn/284","canvas系列第四课，与鼠标、触控交互","高",0,"否"
"HTML5和CSS3扁平化风格博客","http://img.mukewang.com/5705b6280001fda106000338-240-135.jpg","www.imooc.com/learn/445","HTML5与CSS3搭建超酷扁平化风格博客","中",0,"否"
"HTML5小游戏---爱心鱼（上）","http://img.mukewang.com/5704a8e4000122b406000338-240-135.jpg","www.imooc.com/learn/515","学做HTML5游戏，轻轻松松带你上手。","中",0,"否"
"慕课网2048私人订制","http://img.mukewang.com/5358a36b0001503f06010338-240-135.jpg","www.imooc.com/learn/76","趣味游戏+实现的前端课程。","高",0,"否"
"HTML5音乐可视化","http://img.mukewang.com/5705d3450001a90106000338-240-135.jpg","www.imooc.com/learn/299","利用webAudio和canvas可视化你的音乐","高",0,"否"
"React入门","http://img.mukewang.com/55fd033c00018a0606000338-240-135.jpg","www.imooc.com/learn/504","颠覆式前端UI开发框架React基础知识","高",0,"否"
"CSS动画实用技巧","http://img.mukewang.com/57076c5b00016b0e06000338-240-135.jpg","www.imooc.com/learn/357","教你使用CSS实现惊艳的动画效果！","中",0,"否"
"网页定位导航特效","http://img.mukewang.com/574676670001271f06000338-240-135.jpg","www.imooc.com/learn/56","仿天猫版地狗购物网，你值得拥有！","中",0,"否"
